en,ru
title,заглавие
rating,рейтинг
calories,калории
protein,белок
fat,толстый
sodium,натрий
#cakeweek,#выпечка
#wasteless,#безотходный
22-minute meals,22-минутные приемы пищи
3-ingredient recipes,рецепты из 3-х ингредиентов
30 days of groceries,30 дней продуктов
advance prep required,требуется предварительная подготовка
alabama,Алабама
alaska,Аляска
alcoholic,алкоголик
almond,миндаль
amaretto,амаретто
anchovy,анчоус
anise,анис
anniversary,Годовщина
anthony bourdain,Энтони Бурден
aperitif,аперитив
appetizer,закуска
apple,яблоко
apple juice,яблочный сок
apricot,абрикос
arizona,Аризона
artichoke,Артишок
arugula,руккола
asian pear,азиатская груша
asparagus,спаржа
aspen,осина
atlanta,атланта
australia,Австралия
avocado,авокадо
back to school,обратно в школу
backyard bbq,барбекю на заднем дворе
bacon,бекон
bake,выпекать
banana,банан
barley,ячмень
basil,Бэзил
bass,бас
bastille day,День взятия Бастилии
bean,фасоль
beef,говядина
beef rib,говяжье ребро
beef shank,говяжья рулька
beef tenderloin,говяжья вырезка
beer,пиво
beet,свекла
bell pepper,болгарский перец
berry,ягода
beverly hills,Беверли Хиллс
birthday,день рождения
biscuit,печенье
bitters,горькие
blackberry,ежевика
blender,блендер
blue cheese,голубой сыр
blueberry,черника
boil,кипятить
bok choy,бок Чой
bon appétit,приятного аппетита
bon app��tit,приятного аппетита
boston,бостон
bourbon,бурбон
braise,тушить
bran,отруби
brandy,бренди
bread,хлеб
breadcrumbs,панировочные сухари
breakfast,завтрак
brie,бри
brine,рассол
brisket,грудинка
broccoli,брокколи
broccoli rabe,брокколи рабе
broil,жарить
brooklyn,Бруклин
brown rice,коричневый рис
brownie,брауни
brunch,поздний завтрак
brussel sprout,брюссельская капуста
buffalo,буйвол
buffet,"шведский стол, буфет"
bulgaria,Болгария
bulgur,булгур
burrito,буррито
butter,сливочное масло
buttermilk,пахта
butternut squash,мускатная тыква
butterscotch/caramel,ириски/карамель
cabbage,капуста
cake,кекс
california,Калифорния
calvados,кальвадос
cambridge,Кембридж
campari,кампари
camping,поход
canada,Канада
candy,конфеты
candy thermometer,конфеты термометр
cantaloupe,мускусная дыня
capers,каперсы
caraway,тмин
cardamom,кардамон
carrot,морковь
cashew,кешью
casserole/gratin,запеканка/гратен
cauliflower,цветная капуста
caviar,икра
celery,сельдерей
chambord,шамбор
champagne,шампанское
chard,мангольд
chartreuse,шартрез
cheddar,чеддер
cheese,сыр
cherry,вишня
chestnut,каштан
chicago,Чикаго
chicken,курица
chickpea,нут
chile,Чили
chile pepper,перец чили
chili,перец чили
chill,холод
chive,зеленый лук
chocolate,шоколад
christmas,рождество
christmas eve,Рождественский сочельник
cilantro,кинза
cinco de mayo,Синко де Майо
cinnamon,корица
citrus,цитрусовые
clam,моллюск
clove,гвоздика
cobbler/crumble,сапожник / крошка
cocktail,коктейль
cocktail party,коктейльная вечеринка
coconut,кокос
cod,треска
coffee,кофе
coffee grinder,Кофемолка
cognac/armagnac,коньяк/арманьяк
collard greens,зелень
colorado,Колорадо
columbus,Колумб
condiment,приправа
condiment/spread,приправа/спред
connecticut,Коннектикут
cook like a diner,готовить как в закусочной
cookbook critic,кулинарный критик
cookie,печенье
cookies,печенье
coriander,кориандр
corn,кукуруза
cornmeal,кукурузная мука
costa mesa,Коста Меса
cottage cheese,творог
couscous,кускус
crab,краб
cranberry,клюква
cranberry sauce,клюквенный соус
cream cheese,сливочный сыр
créme de cacao,крем де какао
crêpe,креп
cr��me de cacao,крем де какао
cuba,Куба
cucumber,огурец
cumin,тмин
cupcake,кекс
currant,смородина
curry,карри
custard,заварной крем
dairy,молочные продукты
dairy free,без молока
dallas,Даллас
date,датировать
deep-fry,жарить во фритюре
denver,Денвер
dessert,Десерт
digestif,дижестив
dill,укроп
dinner,обед
dip,окунать
diwali,Дивали
dominican republic,Доминиканская Респблика
dorie greenspan,Дори Гринспен
double boiler,пароварка
dried fruit,сухофрукт
drink,напиток
drinks,напитки
duck,утка
easter,Пасхальный
eau de vie,о де ви
edible gift,съедобный подарок
egg,яйцо
egg nog,гоголь-моголь
eggplant,баклажан
egypt,Египет
emeril lagasse,Эмерил Лагассе
endive,эндивий
engagement party,помолвка
england,Англия
entertaining,развлекательный
epi + ushg,эпи + ушг
epi loves the microwave,Эпи любит микроволновку
escarole,эскарол
fall,падение
family reunion,воссоединение семьи
fat free,обезжиренный
father's day,день отца
fennel,фенхель
feta,фета
fig,Инжир
fish,рыбы
flaming hot summer,жаркое жаркое лето
flat bread,плоский хлеб
florida,Флорида
fontina,фонтина
food processor,кухонный комбайн
fortified wine,крепленое вино
fourth of july,четвертое июля
france,Франция
frangelico,Франхелико
frankenrecipe,Франкенрецепт
freeze/chill,заморозить / охладить
freezer food,морозильная камера
friendsgiving,дружба
frittata,фриттата
fritter,оладья
frozen dessert,замороженный десерт
fruit,фрукты
fruit juice,фруктовый сок
fry,жарить
game,игра
garlic,чеснок
georgia,грузия
germany,Германия
gin,Джин
ginger,имбирь
goat cheese,козий сыр
goose,Гусь
gouda,гауда
gourmet,гурман
graduation,выпускной
grains,зерна
grand marnier,Великий Marnier
granola,мюсли
grape,виноград
grapefruit,грейпфрут
grappa,граппа
green bean,зеленая фасоль
green onion/scallion,зеленый лук/шалот
grill,гриль
grill/barbecue,гриль/барбекю
ground beef,Говяжий фарш
ground lamb,бараний фарш
guam,Гуам
guava,гуава
haiti,Гаити
halibut,палтус
halloween,Хэллоуин
ham,ветчина
hamburger,гамбургер
hanukkah,Ханука
harpercollins,Харперколлинз
hawaii,Гавайи
hazelnut,лесной орех
healdsburg,Хилдсбург
healthy,здоровый
herb,трава
high fiber,с высоким содержанием клетчатки
hollywood,Голливуд
hominy/cornmeal/masa,мамалыга/кукурузная мука/маса
honey,медовый
honeydew,нектар
hors d'oeuvre,закуска
horseradish,хрен
hot drink,горячий напиток
hot pepper,острый перец
house & garden,дом и сад
house cocktail,домашний коктейль
houston,Хьюстон
hummus,хумус
ice cream,мороженое
ice cream machine,машина для мороженого
iced coffee,кофе со льдом
iced tea,чай со льдом
idaho,Айдахо
illinois,Иллинойс
indiana,Индиана
iowa,Айова
ireland,Ирландия
israel,Израиль
italy,Италия
jalapeño,халапеньо
jam or jelly,варенье или желе
jamaica,Ямайка
japan,Япония
jerusalem artichoke,Иерусалимский артишок
juicer,соковыжималка
jícama,Хикама
kahlúa,Калуа
kale,капуста
kansas,Канзас
kansas city,Канзас-Сити
kentucky,Кентукки
kentucky derby,Кентукки Дерби
kid-friendly,подходит для детей
kidney friendly,дружественный к почкам
kirsch,Кирш
kitchen olympics,кухня олимпиада
kiwi,киви
kosher,кошерный
kosher for passover,кошерный на пасху
kumquat,кумкват
kwanzaa,кванза
labor day,День труда
lamb,ягненок
lamb chop,баранья отбивная
lamb shank,Голень ягненка
lancaster,Ланкастер
las vegas,Лас Вегас
lasagna,лазанья
leafy green,листовые зеленые
leek,лук-порей
legume,бобовые
lemon,лимон
lemon juice,лимонный сок
lemongrass,лемонграсс
lentil,чечевица
lettuce,латук
lima bean,лимская фасоль
lime,лайм
lime juice,лаймовый сок
lingonberry,брусника
liqueur,ликер
lobster,Омар
london,Лондон
long beach,длинный пляж
los angeles,Лос-Анджелес
louisiana,Луизиана
louisville,Луисвилл
low cal,низкокалорийный
low carb,с низким содержанием углеводов
low cholesterol,низкий уровень холестерина
low fat,с низким содержанием жира
low sodium,низкое содержание натрия
low sugar,низкий уровень сахара
low/no sugar,мало/без сахара
lunar new year,лунный Новый год
lunch,обед
lychee,личи
macadamia nut,орех макадамия
macaroni and cheese,макароны с сыром
maine,Мэн
mandoline,мандолина
mango,манго
maple syrup,кленовый сироп
mardi gras,вторник на масляной неделе
margarita,маргарита
marinade,маринад
marinate,мариновать
marsala,марсала
marscarpone,маскарпоне
marshmallow,зефир
martini,мартини
maryland,Мэриленд
massachusetts,Массачусетс
mayonnaise,майонез
meat,мясо
meatball,фрикадельки
meatloaf,мясной рулет
melon,дыня
mexico,Мексика
mezcal,мескаль
miami,Майами
michigan,Мичиган
microwave,микроволновка
midori,мидори
milk/cream,молоко/сливки
minneapolis,Миннеаполис
minnesota,Миннесота
mint,монетный двор
mississippi,Миссисипи
missouri,Миссури
mixer,Смеситель
molasses,патока
monterey jack,Монтерей Джек
mortar and pestle,Ступка и пестик
mother's day,день матери
mozzarella,моцарелла
muffin,булочка
mushroom,гриб
mussel,мидия
mustard,горчица
mustard greens,зелень горчицы
nancy silverton,Нэнси Сильвертон
nebraska,Небраска
nectarine,нектарин
new hampshire,Нью-Гемпшир
new jersey,Нью-Джерси
new mexico,Нью-Мексико
new orleans,жители Нового Орлеана
new year's day,новый год
new year's eve,Новогодняя ночь
new york,Нью-Йорк
"no meat, no problem","нет мяса, нет проблем"
no sugar added,без добавления сахара
no-cook,без повара
non-alcoholic,безалкогольный
noodle,лапша
north carolina,Северная Каролина
nut,орех
nutmeg,мускатный орех
oat,овес
oatmeal,овсяная каша
octopus,осьминог
ohio,Огайо
oklahoma,Оклахома
okra,бамия
oktoberfest,Октоберфест
olive,оливковое
omelet,омлет
one-pot meal,еда в одном горшке
onion,лук
orange,апельсин
orange juice,апельсиновый сок
oregano,орегано
oregon,Орегон
organic,органический
orzo,орзо
oscars,Оскар
oyster,устрица
pacific palisades,Пасифик Палисейдс
paleo,палео
pan-fry,жарить на сковороде
pancake,блин
papaya,папайя
paprika,паприка
parade,парад
paris,Париж
parmesan,пармезан
parsley,петрушка
parsnip,пастернак
party,партия
pasadena,Пасадена
passion fruit,маракуйя
passover,Пасха
pasta,макароны
pasta maker,производитель макарон
pastry,выпечка
pea,горох
peach,персик
peanut,арахис
peanut butter,арахисовое масло
peanut free,без арахиса
pear,груша
pecan,орех пекан
pennsylvania,Пенсильвания
pepper,перец
pernod,Перно
persian new year,персидский новый год
persimmon,хурма
peru,Перу
pescatarian,пескетарианец
philippines,Филиппины
phyllo/puff pastry dough,тесто фило/слоеное
pickles,соленья
picnic,пикник
pie,пирог
pine nut,кедровый орех
pineapple,ананас
pistachio,фисташковый
pittsburgh,Питтсбург
pizza,пицца
plantain,подорожник
plum,слива
poach,браконьер
poblano,поблано
poker/game night,покер/ночь игр
pomegranate,гранат
pomegranate juice,гранатовый сок
poppy,мак
pork,свинина
pork chop,свиная отбивная
pork rib,свиное ребро
pork tenderloin,свиная вырезка
port,порт
portland,Портленд
pot pie,горшок пирог
potato,картофель
potato salad,картофельный салат
potluck,обед
poultry,домашняя птица
poultry sausage,колбаса из птицы
pressure cooker,скороварка
prosciutto,прошутто
providence,провидение
prune,чернослив
pumpkin,тыква
punch,ударить кулаком
purim,Пурим
quail,перепел
quiche,пирог с заварным кремом
quick & easy,быстро и легко
quick and healthy,быстрый и здоровый
quince,айва
quinoa,Лебеда
rabbit,кролик
rack of lamb,каре ягненка
radicchio,радиккио
radish,редька
raisin,изюм
ramadan,Рамадан
ramekin,формочки
raspberry,малина
raw,сырой
red wine,красное вино
rhode island,Род-Айленд
rhubarb,ревень
rice,рис
ricotta,рикотта
roast,жарить
root vegetable,корнеплод
rosemary,Розмари
rosh hashanah/yom kippur,рош ха-шана/йом кипур
rosé,Роза
rub,руб
rum,ром
rutabaga,брюква
rye,рожь
saffron,шафран
sage,мудрец
sake,сакэ
salad,салат
salad dressing,заправка для салата
salmon,лосось
salsa,сальса
san francisco,Сан-Франциско
sandwich,бутерброд
sandwich theory,теория сэндвича
sangria,сангрия
santa monica,Санта Моника
sardine,сардина
sauce,соус
sausage,колбаса
sauté,соте
scallop,гребешок
scotch,скотч
seafood,морепродукты
seattle,Сиэтл
seed,семя
self,себя
semolina,манная крупа
sesame,кунжут
sesame oil,кунжутное масло
shallot,шалот
shavuot,Шавуот
shellfish,моллюск
sherry,херес
shower,душ
shrimp,креветка
side,боковая сторона
simmer,кипеть
skewer,вертел
slow cooker,Мультиварка
smoker,курильщик
smoothie,смузи
snapper,окунь
sorbet,сорбет
soufflé/meringue,суфле/безе
soup/stew,суп/тушеное мясо
sour cream,сметана
sourdough,закваска
south carolina,Южная Каролина
soy,соя
soy free,без сои
soy sauce,соевый соус
spain,Испания
sparkling wine,игристое вино
spice,специя
spinach,шпинат
spirit,дух
spring,весна
spritzer,спритцер
squash,давить
squid,кальмар
st. louis,ул. Луи
st. patrick's day,ул. день патрика
steak,стейк
steam,пар
stew,тушить
stir-fry,жарить в раскаленном масле
stock,акции
strawberry,клубника
stuffing/dressing,начинка/заправка
sugar conscious,сахар сознательный
sugar snap pea,сахарный горох
sukkot,суккот
summer,летом
super bowl,Супер Боул
suzanne goin,Сюзанна собирается
sweet potato/yam,сладкий картофель/батат
swiss cheese,швейцарский сыр
switzerland,Швейцария
swordfish,рыба-меч
taco,тако
tailgating,задний ход
tamarind,тамаринд
tangerine,мандарин
tapioca,тапиока
tarragon,эстрагон
tart,пирог
tea,чай
tennessee,Теннесси
tequila,текила
tested & improved,проверено и улучшено
texas,Техас
thanksgiving,благодарение
thyme,тимьян
tilapia,тилапия
tofu,тофу
tomatillo,томатилло
tomato,помидор
tortillas,лепешки
tree nut,дерево Орех
tree nut free,без орехов
triple sec,трипл Сек
tropical fruit,тропический фрукт
trout,форель
tuna,тунец
turnip,репа
utah,Юта
valentine's day,День Святого Валентина
vanilla,ваниль
veal,телятина
vegan,веган
vegetable,овощ
vegetarian,вегетарианец
venison,оленина
vermont,Вермонт
vermouth,вермут
vinegar,уксус
virginia,Вирджиния
vodka,водка
waffle,вафля
walnut,грецкий орех
wasabi,васаби
washington,Вашингтон
"washington, d.c.",Вашингтон.
watercress,кресс-салат
watermelon,арбуз
wedding,свадьба
weelicious,весёлый
west virginia,Западная Виргиния
westwood,Вествуд
wheat/gluten-free,пшеница/без глютена
whiskey,виски
white wine,белое вино
whole wheat,цельнозерновой
wild rice,дикий рис
windsor,Виндзор
wine,вино
winter,зима
wisconsin,Висконсин
wok,вок
yellow squash,желтый сквош
yogurt,йогурт
yonkers,Йонкерс
yuca,юка
zucchini,цуккини
cookbooks,поваренные книги
leftovers,остатки
snack,перекус
snack week,неделя закусок
turkey,индейка
