en,ru,ing
title,заглавие,yes
rating,рейтинг,yes
calories,калории,no
protein,белок,no
fat,толстый,no
sodium,натрий,no
#cakeweek,#выпечка,no
#wasteless,#безотходный,no
22-minute meals,22-минутные приемы пищи,no
3-ingredient recipes,рецепты из 3-х ингредиентов,no
30 days of groceries,30 дней продуктов,no
advance prep required,требуется предварительная подготовка,no
alabama,Алабама,no
alaska,Аляска,no
alcoholic,алкоголик,yes
almond,миндаль,yes
amaretto,амаретто,yes
anchovy,анчоус,yes
anise,анис,yes
anniversary,Годовщина,no
anthony bourdain,Энтони Бурден,no
aperitif,аперитив,no
appetizer,закуска,no
apple,яблоко,yes
apple juice,яблочный сок,yes
apricot,абрикос,yes
arizona,Аризона,no
artichoke,Артишок,yes
arugula,руккола,yes
asian pear,азиатская груша,yes
asparagus,спаржа,yes
aspen,осина,no
atlanta,атланта,no
australia,Австралия,no
avocado,авокадо,yes
back to school,обратно в школу,no
backyard bbq,барбекю на заднем дворе,no
bacon,бекон,yes
bake,выпекать,no
banana,банан,yes
barley,ячмень,yes
basil,Бэзил,no
bass,бас,no
bastille day,День взятия Бастилии,no
bean,фасоль,yes
beef,говядина,yes
beef rib,говяжье ребро,yes
beef shank,говяжья рулька,yes
beef tenderloin,говяжья вырезка,yes
beer,пиво,yes
beet,свекла,yes
bell pepper,болгарский перец,yes
berry,ягода,yes
beverly hills,Беверли Хиллс,no
birthday,день рождения,no
biscuit,печенье,yes
bitters,горькие,no
blackberry,ежевика,yes
blender,блендер,no
blue cheese,голубой сыр,yes
blueberry,черника,yes
boil,кипятить,no
bok choy,бок Чой,no
bon appétit,приятного аппетита,no
bon app��tit,приятного аппетита,no
boston,бостон,no
bourbon,бурбон,yes
braise,тушить,no
bran,отруби,yes
brandy,бренди,yes
bread,хлеб,yes
breadcrumbs,панировочные сухари,yes
breakfast,завтрак,no
brie,бри,no
brine,рассол,yes
brisket,грудинка,yes
broccoli,брокколи,yes
broccoli rabe,брокколи рабе,yes
broil,жарить,no
brooklyn,Бруклин,no
brown rice,коричневый рис,yes
brownie,брауни,yes
brunch,поздний завтрак,no
brussel sprout,брюссельская капуста,yes
buffalo,буйвол,yes
buffet,"шведский стол, буфет",no
bulgaria,Болгария,no
bulgur,булгур,yes
burrito,буррито,yes
butter,сливочное масло,yes
buttermilk,пахта,yes
butternut squash,мускатная тыква,yes
butterscotch/caramel,ириски/карамель,yes
cabbage,капуста,yes
cake,кекс,yes
california,Калифорния,no
calvados,кальвадос,no
cambridge,Кембридж,no
campari,кампари,yes
camping,поход,no
canada,Канада,no
candy,конфеты,yes
candy thermometer,конфеты термометр,no
cantaloupe,мускусная дыня,yes
capers,каперсы,yes
caraway,тмин,yes
cardamom,кардамон,yes
carrot,морковь,yes
cashew,кешью,yes
casserole/gratin,запеканка/гратен,yes
cauliflower,цветная капуста,yes
caviar,икра,yes
celery,сельдерей,yes
chambord,шамбор,yes
champagne,шампанское,yes
chard,мангольд,yes
chartreuse,шартрез,yes
cheddar,чеддер,yes
cheese,сыр,yes
cherry,вишня,yes
chestnut,каштан,yes
chicago,Чикаго,no
chicken,курица,yes
chickpea,нут,yes
chile,Чили,no
chile pepper,перец чили,yes
chili,перец чили,yes
chill,холод,no
chive,зеленый лук,yes
chocolate,шоколад,yes
christmas,рождество,no
christmas eve,Рождественский сочельник,no
cilantro,кинза,yes
cinco de mayo,Синко де Майо,no
cinnamon,корица,yes
citrus,цитрусовые,yes
clam,моллюск,yes
clove,гвоздика,yes
cobbler/crumble,сапожник / крошка,no
cocktail,коктейль,yes
cocktail party,коктейльная вечеринка,no
coconut,кокос,yes
cod,треска,yes
coffee,кофе,yes
coffee grinder,Кофемолка,no
cognac/armagnac,коньяк/арманьяк,yes
collard greens,зелень,yes
colorado,Колорадо,no
columbus,Колумб,no
condiment,приправа,no
condiment/spread,приправа/спред,yes
connecticut,Коннектикут,no
cook like a diner,готовить как в закусочной,no
cookbook critic,кулинарный критик,no
cookie,печенье,yes
cookies,печенье,yes
coriander,кориандр,yes
corn,кукуруза,yes
cornmeal,кукурузная мука,yes
costa mesa,Коста Меса,no
cottage cheese,творог,yes
couscous,кускус,yes
crab,краб,yes
cranberry,клюква,yes
cranberry sauce,клюквенный соус,yes
cream cheese,сливочный сыр,yes
créme de cacao,крем де какао,yes
crêpe,креп,yes
cr��me de cacao,крем де какао,yes
cuba,Куба,no
cucumber,огурец,yes
cumin,тмин,yes
cupcake,кекс,yes
currant,смородина,yes
curry,карри,yes
custard,заварной крем,yes
dairy,молочные продукты,no
dairy free,без молока,no
dallas,Даллас,no
date,датировать,no
deep-fry,жарить во фритюре,no
denver,Денвер,no
dessert,Десерт,no
digestif,дижестив,no
dill,укроп,yes
dinner,обед,no
dip,окунать,no
diwali,Дивали,no
dominican republic,Доминиканская Респблика,no
dorie greenspan,Дори Гринспен,no
double boiler,пароварка,no
dried fruit,сухофрукт,yes
drink,напиток,no
drinks,напитки,no
duck,утка,yes
easter,Пасхальный,no
eau de vie,о де ви,no
edible gift,съедобный подарок,no
egg,яйцо,yes
egg nog,гоголь-моголь,yes
eggplant,баклажан,yes
egypt,Египет,no
emeril lagasse,Эмерил Лагассе,no
endive,эндивий,no
engagement party,помолвка,no
england,Англия,no
entertaining,развлекательный,no
epi + ushg,эпи + ушг,no
epi loves the microwave,Эпи любит микроволновку,no
escarole,эскарол,no
fall,падение,no
family reunion,воссоединение семьи,no
fat free,обезжиренный,no
father's day,день отца,no
fennel,фенхель,yes
feta,фета,yes
fig,Инжир,yes
fish,рыбы,yes
flaming hot summer,жаркое жаркое лето,no
flat bread,плоский хлеб,yes
florida,Флорида,no
fontina,фонтина,no
food processor,кухонный комбайн,no
fortified wine,крепленое вино,yes
fourth of july,четвертое июля,no
france,Франция,no
frangelico,Франхелико,no
frankenrecipe,Франкенрецепт,no
freeze/chill,заморозить / охладить,no
freezer food,морозильная камера,no
friendsgiving,дружба,no
frittata,фриттата,yes
fritter,оладья,yes
frozen dessert,замороженный десерт,no
fruit,фрукты,yes
fruit juice,фруктовый сок,yes
fry,жарить,no
game,игра,no
garlic,чеснок,yes
georgia,грузия,no
germany,Германия,no
gin,Джин,yes
ginger,имбирь,yes
goat cheese,козий сыр,yes
goose,Гусь,yes
gouda,гауда,yes
gourmet,гурман,no
graduation,выпускной,no
grains,зерна,yes
grand marnier,Великий Marnier,no
granola,мюсли,yes
grape,виноград,yes
grapefruit,грейпфрут,yes
grappa,граппа,yes
green bean,зеленая фасоль,yes
green onion/scallion,зеленый лук/шалот,no
grill,гриль,yes
grill/barbecue,гриль/барбекю,no
ground beef,Говяжий фарш,yes
ground lamb,бараний фарш,yes
guam,Гуам,no
guava,гуава,yes
haiti,Гаити,no
halibut,палтус,yes
halloween,Хэллоуин,no
ham,ветчина,yes
hamburger,гамбургер,yes
hanukkah,Ханука,no
harpercollins,Харперколлинз,no
hawaii,Гавайи,no
hazelnut,лесной орех,yes
healdsburg,Хилдсбург,no
healthy,здоровый,no
herb,трава,yes
high fiber,с высоким содержанием клетчатки,no
hollywood,Голливуд,no
hominy/cornmeal/masa,мамалыга/кукурузная мука/маса,no
honey,медовый,no
honeydew,нектар,yes
hors d'oeuvre,закуска,no
horseradish,хрен,yes
hot drink,горячий напиток,no
hot pepper,острый перец,yes
house & garden,дом и сад,no
house cocktail,домашний коктейль,no
houston,Хьюстон,no
hummus,хумус,yes
ice cream,мороженое,yes
ice cream machine,машина для мороженого,no
iced coffee,кофе со льдом,yes
iced tea,чай со льдом,yes
idaho,Айдахо,no
illinois,Иллинойс,no
indiana,Индиана,no
iowa,Айова,no
ireland,Ирландия,no
israel,Израиль,no
italy,Италия,no
jalapeño,халапеньо,no
jam or jelly,варенье или желе,yes
jamaica,Ямайка,no
japan,Япония,no
jerusalem artichoke,Иерусалимский артишок,yes
juicer,соковыжималка,no
jícama,Хикама,no
kahlúa,Калуа,no
kale,капуста,yes
kansas,Канзас,no
kansas city,Канзас-Сити,no
kentucky,Кентукки,no
kentucky derby,Кентукки Дерби,no
kid-friendly,подходит для детей,no
kidney friendly,дружественный к почкам,no
kirsch,Кирш,no
kitchen olympics,кухня олимпиада,no
kiwi,киви,yes
kosher,кошерный,no
kosher for passover,кошерный на пасху,no
kumquat,кумкват,yes
kwanzaa,кванза,yes
labor day,День труда,no
lamb,ягненок,yes
lamb chop,баранья отбивная,yes
lamb shank,Голень ягненка,no
lancaster,Ланкастер,no
las vegas,Лас Вегас,no
lasagna,лазанья,yes
leafy green,листовые зеленые,yes
leek,лук-порей,yes
legume,бобовые,yes
lemon,лимон,yes
lemon juice,лимонный сок,yes
lemongrass,лемонграсс,yes
lentil,чечевица,yes
lettuce,латук,yes
lima bean,лимская фасоль,yes
lime,лайм,yes
lime juice,лаймовый сок,yes
lingonberry,брусника,yes
liqueur,ликер,yes
lobster,Омар,no
london,Лондон,no
long beach,длинный пляж,no
los angeles,Лос-Анджелес,no
louisiana,Луизиана,no
louisville,Луисвилл,no
low cal,низкокалорийный,no
low carb,с низким содержанием углеводов,no
low cholesterol,низкий уровень холестерина,no
low fat,с низким содержанием жира,no
low sodium,низкое содержание натрия,no
low sugar,низкий уровень сахара,no
low/no sugar,мало/без сахара,no
lunar new year,лунный Новый год,no
lunch,обед,no
lychee,личи,yes
macadamia nut,орех макадамия,yes
macaroni and cheese,макароны с сыром,yes
maine,Мэн,no
mandoline,мандолина,no
mango,манго,yes
maple syrup,кленовый сироп,no
mardi gras,вторник на масляной неделе,no
margarita,маргарита,yes
marinade,маринад,no
marinate,мариновать,no
marsala,марсала,no
marscarpone,маскарпоне,yes
marshmallow,зефир,yes
martini,мартини,yes
maryland,Мэриленд,no
massachusetts,Массачусетс,no
mayonnaise,майонез,yes
meat,мясо,yes
meatball,фрикадельки,yes
meatloaf,мясной рулет,no
melon,дыня,yes
mexico,Мексика,no
mezcal,мескаль,yes
miami,Майами,no
michigan,Мичиган,no
microwave,микроволновка,no
midori,мидори,yes
milk/cream,молоко/сливки,yes
minneapolis,Миннеаполис,no
minnesota,Миннесота,no
mint,монетный двор,no
mississippi,Миссисипи,no
missouri,Миссури,no
mixer,Смеситель,no
molasses,патока,yes
monterey jack,Монтерей Джек,no
mortar and pestle,Ступка и пестик,no
mother's day,день матери,no
mozzarella,моцарелла,yes
muffin,булочка,yes
mushroom,гриб,yes
mussel,мидия,yes
mustard,горчица,yes
mustard greens,зелень горчицы,yes
nancy silverton,Нэнси Сильвертон,no
nebraska,Небраска,no
nectarine,нектарин,yes
new hampshire,Нью-Гемпшир,no
new jersey,Нью-Джерси,no
new mexico,Нью-Мексико,no
new orleans,жители Нового Орлеана,no
new year's day,новый год,no
new year's eve,Новогодняя ночь,no
new york,Нью-Йорк,no
"no meat, no problem","нет мяса, нет проблем",no
no sugar added,без добавления сахара,no
no-cook,без повара,no
non-alcoholic,безалкогольный,no
noodle,лапша,yes
north carolina,Северная Каролина,no
nut,орех,yes
nutmeg,мускатный орех,yes
oat,овес,yes
oatmeal,овсяная каша,yes
octopus,осьминог,yes
ohio,Огайо,no
oklahoma,Оклахома,no
okra,бамия,no
oktoberfest,Октоберфест,no
olive,оливковое,yes
omelet,омлет,yes
one-pot meal,еда в одном горшке,no
onion,лук,yes
orange,апельсин,yes
orange juice,апельсиновый сок,yes
oregano,орегано,no
oregon,Орегон,no
organic,органический,no
orzo,орзо,yes
oscars,Оскар,no
oyster,устрица,yes
pacific palisades,Пасифик Палисейдс,no
paleo,палео,yes
pan-fry,жарить на сковороде,no
pancake,блин,yes
papaya,папайя,yes
paprika,паприка,yes
parade,парад,no
paris,Париж,no
parmesan,пармезан,yes
parsley,петрушка,yes
parsnip,пастернак,yes
party,партия,no
pasadena,Пасадена,no
passion fruit,маракуйя,yes
passover,Пасха,no
pasta,макароны,yes
pasta maker,производитель макарон,no
pastry,выпечка,no
pea,горох,yes
peach,персик,yes
peanut,арахис,yes
peanut butter,арахисовое масло,yes
peanut free,без арахиса,no
pear,груша,yes
pecan,орех пекан,yes
pennsylvania,Пенсильвания,no
pepper,перец,yes
pernod,Перно,no
persian new year,персидский новый год,no
persimmon,хурма,yes
peru,Перу,no
pescatarian,пескетарианец,no
philippines,Филиппины,no
phyllo/puff pastry dough,тесто фило/слоеное,no
pickles,соленья,no
picnic,пикник,no
pie,пирог,no
pine nut,кедровый орех,yes
pineapple,ананас,yes
pistachio,фисташковый,no
pittsburgh,Питтсбург,no
pizza,пицца,yes
plantain,подорожник,yes
plum,слива,yes
poach,браконьер,no
poblano,поблано,no
poker/game night,покер/ночь игр,no
pomegranate,гранат,yes
pomegranate juice,гранатовый сок,yes
poppy,мак,yes
pork,свинина,yes
pork chop,свиная отбивная,yes
pork rib,свиное ребро,yes
pork tenderloin,свиная вырезка,yes
port,порт,no
portland,Портленд,no
pot pie,горшок пирог,no
potato,картофель,yes
potato salad,картофельный салат,no
potluck,обед,no
poultry,домашняя птица,no
poultry sausage,колбаса из птицы,no
pressure cooker,скороварка,no
prosciutto,прошутто,yes
providence,провидение,no
prune,чернослив,yes
pumpkin,тыква,yes
punch,ударить кулаком,no
purim,Пурим,no
quail,перепел,yes
quiche,пирог с заварным кремом,no
quick & easy,быстро и легко,no
quick and healthy,быстрый и здоровый,no
quince,айва,yes
quinoa,Лебеда,no
rabbit,кролик,yes
rack of lamb,каре ягненка,yes
radicchio,радиккио,no
radish,редька,yes
raisin,изюм,yes
ramadan,Рамадан,no
ramekin,формочки,no
raspberry,малина,yes
raw,сырой,no
red wine,красное вино,yes
rhode island,Род-Айленд,no
rhubarb,ревень,yes
rice,рис,yes
ricotta,рикотта,yes
roast,жарить,no
root vegetable,корнеплод,no
rosemary,Розмари,no
rosh hashanah/yom kippur,рош ха-шана/йом кипур,no
rosé,Роза,no
rub,руб,no
rum,ром,yes
rutabaga,брюква,yes
rye,рожь,yes
saffron,шафран,yes
sage,мудрец,no
sake,сакэ,yes
salad,салат,yes
salad dressing,заправка для салата,no
salmon,лосось,yes
salsa,сальса,no
san francisco,Сан-Франциско,no
sandwich,бутерброд,no
sandwich theory,теория сэндвича,no
sangria,сангрия,yes
santa monica,Санта Моника,no
sardine,сардина,yes
sauce,соус,no
sausage,колбаса,no
sauté,соте,no
scallop,гребешок,yes
scotch,скотч,no
seafood,морепродукты,no
seattle,Сиэтл,no
seed,семя,no
self,себя,no
semolina,манная крупа,yes
sesame,кунжут,yes
sesame oil,кунжутное масло,yes
shallot,шалот,no
shavuot,Шавуот,no
shellfish,моллюск,no
sherry,шерри,no
shower,душ,no
shrimp,креветка,yes
side,боковая сторона,no
simmer,кипеть,no
skewer,вертел,no
slow cooker,Мультиварка,no
smoker,курильщик,no
smoothie,смузи,no
snapper,окунь,yes
sorbet,сорбет,no
soufflé/meringue,суфле/безе,yes
soup/stew,суп/тушеное мясо,no
sour cream,сметана,yes
sourdough,закваска,no
south carolina,Южная Каролина,no
soy,соя,yes
soy free,без сои,no
soy sauce,соевый соус,yes
spain,Испания,no
sparkling wine,игристое вино,no
spice,специя,no
spinach,шпинат,yes
spirit,дух,no
spring,весна,no
spritzer,спритцер,no
squash,давить,no
squid,кальмар,yes
st. louis,ул. Луи,no
st. patrick's day,ул. день патрика,no
steak,стейк,no
steam,пар,no
stew,тушить,no
stir-fry,жарить в раскаленном масле,no
stock,акции,no
strawberry,клубника,yes
stuffing/dressing,начинка/заправка,no
sugar conscious,сахар сознательный,no
sugar snap pea,сахарный горох,yes
sukkot,суккот,no
summer,летом,no
super bowl,Супер Боул,no
suzanne goin,Сюзанна собирается,no
sweet potato/yam,сладкий картофель/батат,yes
swiss cheese,швейцарский сыр,yes
switzerland,Швейцария,no
swordfish,рыба-меч,yes
taco,тако,no
tailgating,задний ход,no
tamarind,тамаринд,yes
tangerine,мандарин,yes
tapioca,тапиока,yes
tarragon,эстрагон,yes
tart,пирог,no
tea,чай,yes
tennessee,Теннесси,no
tequila,текила,yes
tested & improved,проверено и улучшено,no
texas,Техас,no
thanksgiving,благодарение,no
thyme,тимьян,yes
tilapia,тилапия,no
tofu,тофу,yes
tomatillo,томатилло,no
tomato,помидор,yes
tortillas,лепешки,no
tree nut,дерево Орех,no
tree nut free,без орехов,no
triple sec,трипл Сек,no
tropical fruit,тропический фрукт,no
trout,форель,yes
tuna,тунец,yes
turnip,репа,yes
utah,Юта,no
valentine's day,День Святого Валентина,no
vanilla,ваниль,yes
veal,телятина,yes
vegan,веган,no
vegetable,овощ,no
vegetarian,вегетарианец,no
venison,оленина,no
vermont,Вермонт,no
vermouth,вермут,yes
vinegar,уксус,yes
virginia,Вирджиния,no
vodka,водка,yes
waffle,вафля,yes
walnut,грецкий орех,yes
wasabi,васаби,yes
washington,Вашингтон,no
"washington, d.c.",Вашингтон.,no
watercress,кресс-салат,yes
watermelon,арбуз,yes
wedding,свадьба,no
weelicious,весёлый,no
west virginia,Западная Виргиния,no
westwood,Вествуд,no
wheat/gluten-free,пшеница/без глютена,yes
whiskey,виски,yes
white wine,белое вино,yes
whole wheat,цельнозерновой,no
wild rice,дикий рис,yes
windsor,Виндзор,no
wine,вино,yes
winter,зима,no
wisconsin,Висконсин,no
wok,вок,no
yellow squash,желтый сквош,no
yogurt,йогурт,yes
yonkers,Йонкерс,no
yuca,юка,yes
zucchini,цуккини,yes
cookbooks,поваренные книги,no
leftovers,остатки,no
snack,перекус,no
snack week,неделя закусок,no
turkey,индейка,yes
